
seed 1: the charge starts 69,886 from the station, 4,181 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
   0 | arriving  false   136     69,883 |      4,180     255  255/255  mission   | false
  10 | arriving  false   136     68,523 |      1,102     255  255/255  mission   | false
  20 | arriving  false   136     67,163 |        710     255  255/255  mission   | false
  30 | arriving  false   136     65,803 |        616     255  255/255  mission   | false
  40 | arriving  false   136     64,443 |        626     255  255/255  mission   | false
  50 | arriving  false   136     63,083 |        716     255  255/255  mission   | true
  60 | arriving  true    145     61,833 |      1,079     254  255/255  null      | true
  70 | arriving  true    160     60,343 |        105     255  255/255  mission   | false
  80 | arriving  true    160     58,766 |        122     255  255/255  mission   | false
  90 | arriving  true    160     57,190 |        138     255  255/255  mission   | false
 100 | arriving  true    160     55,615 |        155     255  255/255  mission   | false
 110 | arriving  true    160     54,042 |        172     255  255/255  mission   | false
 120 | arriving  true    160     52,471 |        188     255  255/255  mission   | false
 130 | arriving  true    160     50,902 |        205     255  255/255  mission   | false
 140 | arriving  true    160     49,334 |        222     255  255/255  mission   | false
 150 | arriving  true    160     47,755 |        239     255  255/255  mission   | false
 160 | arriving  true    160     46,161 |        256     255  255/255  mission   | false
 170 | arriving  true    160     44,570 |        273     255  255/255  mission   | false
 180 | arriving  true    160     42,995 |        289     255  255/255  mission   | false
 190 | arriving  true    160     41,448 |        306     255  255/255  mission   | false
 200 | arriving  true    160     39,937 |        323     255  255/255  mission   | false
 210 | arriving  true    160     38,469 |        340     255  255/255  mission   | false
 220 | arriving  true    160     37,017 |        356     255  255/255  mission   | false
 230 | arriving  true    160     35,585 |        367     255  255/255  mission   | false
 240 | arriving  true    160     34,641 |        367     255  255/255  mission   | false
 250 | arriving  true    160     34,733 |        367     255  255/255  mission   | false
 260 | arriving  true    160     35,758 |        367     255  255/255  mission   | false
 270 | arriving  true    160     37,201 |        366     255  255/255  mission   | false
 280 | arriving  true    160     38,426 |        373     255  255/255  mission   | false
 290 | arriving  true    160     38,829 |        367     255  255/255  mission   | false
 300 | arriving  true    160     38,291 |        371     255  255/255  mission   | false
 310 | arriving  true    160     37,086 |        369     255  255/255  mission   | false
 320 | arriving  true    160     35,671 |        369     255  255/255  mission   | false
 330 | arriving  true    160     34,689 |        373     255  255/255  mission   | false
 340 | arriving  true    160     34,732 |        370     255  255/255  mission   | false
 350 | arriving  true    160     35,794 |        366     255  255/255  mission   | false
 360 | arriving  true    160     37,245 |        371     255  255/255  mission   | false
 370 | arriving  true    160     38,451 |        371     255  255/255  mission   | false
 380 | arriving  true    160     38,855 |        371     255  255/255  mission   | false
 390 | arriving  true    160     38,411 |        374     255  255/255  mission   | false
 400 | arriving  true    160     37,139 |        367     255  255/255  mission   | false
 410 | arriving  true    160     35,713 |        372     255  255/255  mission   | false
 420 | arriving  true    160     34,817 |        368     255  255/255  mission   | false
 430 | arriving  true    160     34,960 |        370     255  255/255  mission   | false
 440 | arriving  true    160     35,937 |        372     255  255/255  mission   | false
 450 | arriving  true    160     37,370 |        370     255  255/255  mission   | false
 460 | arriving  true    160     38,585 |        375     255  255/255  mission   | false
 470 | arriving  true    160     39,003 |        371     255  255/255  mission   | false
 480 | arriving  true    160     38,482 |        374     255  255/255  mission   | false
 490 | arriving  true    160     37,273 |        372     255  255/255  mission   | false
 500 | arriving  true    160     35,861 |        372     255  255/255  mission   | false
 510 | arriving  true    160     34,903 |        375     255  255/255  mission   | false
 520 | arriving  true    160     34,996 |        370     255  255/255  mission   | false
 530 | arriving  true    160     36,090 |        367     255  255/255  mission   | false
 540 | arriving  true    160     37,536 |        371     255  255/255  mission   | false
 550 | arriving  true    160     38,705 |        371     255  255/255  mission   | false
 560 | arriving  true    160     39,024 |        368     255  255/255  mission   | false
 570 | arriving  true    160     38,325 |        366     255  255/255  mission   | false
 580 | arriving  true    160     37,050 |        373     255  255/255  mission   | false
 590 | arriving  true    160     35,677 |        367     255  255/255  mission   | false
  still going at 600 s; nearest 70; 0 energy drops within 200 units of the charge

seed 2: the charge starts 74,822 from the station, 4,317 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
   0 | arriving  false   136     74,819 |      4,319     255  255/255  mission   | false
  10 | arriving  false   136     73,463 |        531     255  255/255  mission   | false
  20 | arriving  true    160     72,237 |        174     255  165/255  mission   | false
  30 | arriving  true    160     71,142 |        192     255  196/255  mission   | false
  40 | arriving  true    160     70,066 |        209     255  226/255  mission   | false
  50 | arriving  true    160     69,010 |        227     255  255/255  mission   | false
  60 | arriving  true    160     67,975 |        245     255  255/255  mission   | false
  70 | arriving  true    160     66,963 |        262     255  255/255  mission   | false
  80 | arriving  true    160     65,974 |        280     255  255/255  mission   | false
  90 | arriving  true    160     65,010 |        298     255  255/255  mission   | false
 100 | arriving  true    160     64,071 |        315     255  255/255  mission   | false
 110 | arriving  true    160     63,158 |        333     255  255/255  mission   | false
 120 | arriving  true    160     62,273 |        351     255  255/255  mission   | false
 130 | arriving  true    160     61,417 |        368     255  255/255  mission   | false
 140 | arriving  true    160     60,592 |        386     255  255/255  mission   | false
 150 | arriving  true    160     59,798 |        404     255  255/255  mission   | false
 160 | arriving  true    160     59,036 |        421     255  255/255  mission   | false
 170 | arriving  true    160     58,308 |        439     255  255/255  mission   | false
 180 | arriving  true    160     57,616 |        457     255  255/255  mission   | false
 190 | arriving  true    160     56,960 |        474     255  255/255  mission   | false
 200 | arriving  true    160     56,342 |        492     255  255/255  mission   | false
 210 | arriving  true    160     55,763 |        510     255  255/255  mission   | false
 220 | arriving  true    160     55,225 |        677     255  255/255  mission   | false
 230 | arriving  true    160     54,727 |        715     255  255/255  mission   | false
 240 | arriving  true    160     54,273 |        732     255  255/255  mission   | false
 250 | arriving  true    160     53,862 |        730     255  255/255  mission   | false
 260 | arriving  true    160     53,496 |        708     255  255/255  mission   | false
 270 | arriving  true    160     53,176 |        667     255  255/255  mission   | false
 280 | arriving  true    160     52,902 |        630     255  255/255  mission   | false
 290 | arriving  true    160     52,675 |        608     255  255/255  mission   | false
 300 | arriving  true    160     52,496 |        600     255  255/255  mission   | false
 310 | arriving  true    160     52,365 |        611     255  255/255  mission   | false
 320 | arriving  true    160     52,283 |        642     255  255/255  mission   | false
 330 | arriving  true    160     52,250 |        688     255  255/255  mission   | false
 340 | arriving  true    160     52,266 |        721     255  255/255  mission   | false
 350 | arriving  true    160     52,331 |        734     255  255/255  mission   | false
 360 | arriving  true    160     52,444 |        727     255  255/255  mission   | false
 370 | arriving  true    160     52,606 |        701     255  255/255  mission   | false
 380 | arriving  true    160     52,816 |        658     255  255/255  mission   | false
 390 | arriving  true    160     53,074 |        624     255  255/255  mission   | false
 400 | arriving  true    160     53,378 |        604     255  255/255  mission   | false
 410 | arriving  true    160     53,728 |        601     255  255/255  mission   | false
 420 | arriving  true    160     54,123 |        616     255  255/255  mission   | false
 430 | arriving  true    160     54,562 |        651     255  255/255  mission   | false
 440 | arriving  true    160     55,045 |        697     255  255/255  mission   | false
 450 | arriving  true    160     55,569 |        725     255  255/255  mission   | false
 460 | arriving  true    160     56,134 |        734     255  255/255  mission   | false
 470 | arriving  true    160     56,738 |        723     255  255/255  mission   | false
 480 | arriving  true    160     57,381 |        692     255  255/255  mission   | false
 490 | arriving  true    160     58,060 |        649     255  255/255  mission   | false
 500 | arriving  true    160     58,776 |        618     255  255/255  mission   | false
 510 | arriving  true    160     59,526 |        602     255  255/255  mission   | false
 520 | arriving  true    160     60,308 |        602     255  255/255  mission   | false
 530 | arriving  true    160     61,123 |        622     255  255/255  mission   | false
 540 | arriving  true    160     61,969 |        662     255  255/255  mission   | false
 550 | arriving  true    160     62,843 |        705     255  255/255  mission   | false
 560 | arriving  true    160     63,746 |        729     255  255/255  mission   | false
 570 | arriving  true    160     64,676 |        733     255  255/255  mission   | false
 580 | arriving  true    160     65,632 |        718     255  255/255  mission   | false
 590 | arriving  true    160     66,612 |        683     255  255/255  mission   | false
  still going at 600 s; nearest 49; 0 energy drops within 200 units of the charge

seed 5: the charge starts 74,302 from the station, 4,553 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
   0 | arriving  false   136     74,300 |      4,554     255  255/255  mission   | false
  10 | arriving  false   136     72,940 |        708     255  255/255  mission   | false
  20 | arriving  false   136     71,580 |        130     255  255/255  mission   | false
  30 | arriving  false   136     70,220 |        127     255  255/255  mission   | false
  40 | arriving  false   136     68,860 |        123     255  255/255  mission   | false
  50 | arriving  false   136     67,500 |        120     255  255/255  mission   | false
  60 | arriving  false   136     66,140 |        117     255  255/255  mission   | false
  70 | arriving  false   136     64,780 |        113     255  255/255  mission   | false
  80 | arriving  false   136     63,420 |        110     255  255/255  mission   | false
  90 | arriving  false   136     62,060 |        107     255  255/255  mission   | false
 100 | arriving  false   136     60,700 |        103     255  255/255  mission   | false
 110 | arriving  false   136     59,340 |        100     255  255/255  mission   | false
 120 | arriving  false   136     57,980 |         97     255  255/255  mission   | false
 130 | arriving  false   136     56,620 |         93     255  255/255  mission   | false
 140 | arriving  false   136     55,260 |         90     255  255/255  mission   | false
 150 | arriving  false   136     53,900 |         87     255  255/255  mission   | false
 160 | arriving  false   136     52,540 |         83     255  255/255  mission   | false
 170 | arriving  false   136     51,180 |         80     255  255/255  mission   | false
 180 | arriving  false   136     49,820 |         77     255  255/255  mission   | false
 190 | arriving  false   136     48,460 |         73     255  255/255  mission   | false
 200 | arriving  false   136     47,100 |         70     255  255/255  mission   | false
 210 | arriving  false   136     45,740 |         67     255  255/255  mission   | false
 220 | arriving  false   136     44,380 |         63     255  255/255  mission   | false
 230 | arriving  false   136     43,020 |         60     255  255/255  mission   | false
 240 | arriving  false   136     41,660 |         57     255  255/255  mission   | false
 250 | arriving  false   136     40,300 |         53     255  255/255  mission   | false
 260 | arriving  false   136     38,940 |         50     255  255/255  mission   | false
 270 | arriving  false   136     37,580 |         47     255  255/255  mission   | false
 280 | arriving  true    160     36,105 |        177     255  155/255  mission   | false
 290 | arriving  true    160     34,505 |        195     255  185/255  mission   | false
 300 | arriving  true    160     32,905 |        213     255  216/255  mission   | false
 310 | arriving  true    160     31,305 |        230     255  246/255  mission   | false
 320 | arriving  true    160     29,706 |        248     255  255/255  mission   | false
 330 | arriving  true    160     28,106 |        266     255  255/255  mission   | false
 340 | arriving  true    160     26,506 |        283     255  255/255  mission   | false
 350 | arriving  true    160     24,907 |        301     255  255/255  mission   | false
 360 | arriving  true    160     23,307 |        319     255  255/255  mission   | false
