
### SHIELD_REGEN_FRACTION 0.014 · tier 2 · 200 episodes

| knife-fights | pursuit | 1 | 45.1% | 10.59/s | 0.57/s | 5.4% |  0.57/s |  3.94/s |  0.00/s |  4.51/s | 2.0% | 0.0% | 0.0% | 0.36 |
| knife-fights | pursuit | 2 | 63.6% | 12.11/s | 2.82/s | 23.3% |  5.63/s |  7.73/s |  0.16/s | 13.52/s | 80.0% | 25.5% | 7.5% | 0.04 |
| knife-fights | pursuit | 3 | 63.6% | 10.19/s | 2.49/s | 24.5% |  7.38/s | 11.33/s |  0.29/s | 19.01/s | 94.0% | 48.5% | 32.0% | 0.11 |
| knife-fights | pursuit | 4 | 64.0% | 9.45/s | 2.39/s | 25.3% |  9.54/s | 11.77/s |  0.54/s | 21.85/s | 96.5% | 54.5% | 43.0% | 0.04 |
| runs | pursuit | 1 | 30.7% | 10.68/s | 2.70/s | 25.2% |  2.70/s |  0.00/s |  0.00/s |  2.70/s | 5.5% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 30.1% | 12.25/s | 2.79/s | 22.8% |  5.58/s |  0.00/s |  0.00/s |  5.58/s | 17.5% | 0.5% | 0.0% | 0.00 |
| runs | pursuit | 3 | 30.9% | 10.27/s | 2.45/s | 23.8% |  7.35/s |  0.00/s |  0.00/s |  7.35/s | 32.5% | 2.5% | 0.5% | 0.00 |
| runs | pursuit | 4 | 30.7% | 9.47/s | 2.10/s | 22.2% |  8.41/s |  0.00/s |  0.00/s |  8.41/s | 41.0% | 3.5% | 2.5% | 0.00 |

### SHIELD_REGEN_FRACTION 0.012 · tier 2 · 200 episodes

| knife-fights | pursuit | 1 | 45.1% | 10.59/s | 0.57/s | 5.4% |  0.57/s |  3.94/s |  0.00/s |  4.51/s | 3.5% | 0.0% | 0.0% | 0.36 |
| knife-fights | pursuit | 2 | 63.6% | 12.11/s | 2.83/s | 23.3% |  5.63/s |  7.72/s |  0.16/s | 13.51/s | 84.5% | 27.0% | 8.5% | 0.04 |
| knife-fights | pursuit | 3 | 63.5% | 10.18/s | 2.50/s | 24.5% |  7.41/s | 11.37/s |  0.30/s | 19.08/s | 95.5% | 49.5% | 35.5% | 0.10 |
| knife-fights | pursuit | 4 | 63.8% | 9.44/s | 2.39/s | 25.3% |  9.54/s | 11.81/s |  0.54/s | 21.89/s | 97.5% | 56.0% | 45.5% | 0.04 |
| runs | pursuit | 1 | 30.7% | 10.68/s | 2.70/s | 25.2% |  2.70/s |  0.00/s |  0.00/s |  2.70/s | 5.5% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 30.1% | 12.25/s | 2.79/s | 22.8% |  5.58/s |  0.00/s |  0.00/s |  5.58/s | 21.0% | 0.5% | 0.0% | 0.00 |
| runs | pursuit | 3 | 30.9% | 10.27/s | 2.45/s | 23.8% |  7.34/s |  0.00/s |  0.00/s |  7.34/s | 33.0% | 3.5% | 1.0% | 0.00 |
| runs | pursuit | 4 | 30.7% | 9.47/s | 2.10/s | 22.2% |  8.41/s |  0.00/s |  0.00/s |  8.41/s | 44.5% | 4.0% | 2.5% | 0.00 |

### SHIELD_REGEN_FRACTION 0.010 · tier 2 · 200 episodes

| knife-fights | pursuit | 1 | 45.1% | 10.59/s | 0.57/s | 5.4% |  0.57/s |  3.94/s |  0.00/s |  4.51/s | 4.5% | 0.0% | 0.0% | 0.36 |
| knife-fights | pursuit | 2 | 63.5% | 12.12/s | 2.83/s | 23.4% |  5.64/s |  7.72/s |  0.16/s | 13.52/s | 87.0% | 29.0% | 11.5% | 0.04 |
| knife-fights | pursuit | 3 | 63.4% | 10.18/s | 2.50/s | 24.6% |  7.41/s | 11.44/s |  0.30/s | 19.15/s | 96.5% | 50.5% | 39.0% | 0.10 |
| knife-fights | pursuit | 4 | 63.7% | 9.44/s | 2.39/s | 25.4% |  9.54/s | 11.75/s |  0.55/s | 21.84/s | 98.0% | 58.0% | 47.0% | 0.04 |
| runs | pursuit | 1 | 30.7% | 10.68/s | 2.70/s | 25.2% |  2.70/s |  0.00/s |  0.00/s |  2.70/s | 6.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 30.1% | 12.25/s | 2.79/s | 22.8% |  5.58/s |  0.00/s |  0.00/s |  5.58/s | 24.0% | 0.5% | 0.0% | 0.00 |
| runs | pursuit | 3 | 30.9% | 10.27/s | 2.45/s | 23.8% |  7.35/s |  0.00/s |  0.00/s |  7.35/s | 36.5% | 4.5% | 2.0% | 0.00 |
| runs | pursuit | 4 | 30.7% | 9.47/s | 2.10/s | 22.2% |  8.40/s |  0.00/s |  0.00/s |  8.40/s | 48.5% | 5.5% | 3.0% | 0.00 |
