
### SHIELD_REGEN_FRACTION 0.035 · tier 1 · 150 episodes

| knife-fights | pursuit | 1 | 46.0% | 7.72/s | 0.82/s | 10.7% |  0.82/s |  1.33/s |  0.00/s |  2.15/s | 0.0% | 0.0% | 0.0% | 1.00 |
| knife-fights | pursuit | 2 | 58.0% | 6.64/s | 1.18/s | 17.8% |  2.02/s |  0.81/s |  0.15/s |  2.98/s | 2.0% | 0.0% | 0.0% | 1.34 |
| knife-fights | pursuit | 3 | 62.5% | 6.33/s | 1.41/s | 22.2% |  3.82/s |  0.63/s |  0.34/s |  4.79/s | 4.0% | 0.7% | 0.0% | 0.71 |
| knife-fights | pursuit | 4 | 63.3% | 5.96/s | 1.43/s | 24.0% |  5.19/s |  0.63/s |  0.46/s |  6.28/s | 8.0% | 0.0% | 0.0% | 0.85 |
| runs | pursuit | 1 | 28.0% | 7.80/s | 1.40/s | 17.9% |  1.40/s |  0.00/s |  0.00/s |  1.40/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 29.0% | 6.24/s | 1.13/s | 18.1% |  2.26/s |  0.00/s |  0.00/s |  2.26/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 3 | 29.1% | 6.09/s | 1.23/s | 20.2% |  3.69/s |  0.00/s |  0.00/s |  3.69/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 4 | 29.4% | 5.73/s | 1.16/s | 20.2% |  4.63/s |  0.00/s |  0.00/s |  4.63/s | 0.0% | 0.0% | 0.0% | 0.01 |

### SHIELD_REGEN_FRACTION 0.012 · tier 1 · 150 episodes

| knife-fights | pursuit | 1 | 46.0% | 7.72/s | 0.82/s | 10.7% |  0.82/s |  1.33/s |  0.00/s |  2.15/s | 0.0% | 0.0% | 0.0% | 1.00 |
| knife-fights | pursuit | 2 | 58.0% | 6.64/s | 1.18/s | 17.8% |  2.02/s |  0.81/s |  0.15/s |  2.98/s | 4.7% | 0.0% | 0.0% | 1.34 |
| knife-fights | pursuit | 3 | 62.5% | 6.33/s | 1.41/s | 22.2% |  3.82/s |  0.63/s |  0.34/s |  4.79/s | 9.3% | 0.7% | 0.0% | 0.71 |
| knife-fights | pursuit | 4 | 63.3% | 5.96/s | 1.43/s | 24.0% |  5.19/s |  0.63/s |  0.46/s |  6.28/s | 11.3% | 0.0% | 0.0% | 0.85 |
| runs | pursuit | 1 | 28.0% | 7.80/s | 1.40/s | 17.9% |  1.40/s |  0.00/s |  0.00/s |  1.40/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 29.0% | 6.24/s | 1.13/s | 18.1% |  2.26/s |  0.00/s |  0.00/s |  2.26/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 3 | 29.1% | 6.09/s | 1.23/s | 20.2% |  3.69/s |  0.00/s |  0.00/s |  3.69/s | 0.7% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 4 | 29.4% | 5.73/s | 1.16/s | 20.2% |  4.63/s |  0.00/s |  0.00/s |  4.63/s | 2.0% | 0.0% | 0.0% | 0.01 |
